gene_id,CD4_positive_naive_resting_alpha_beta_T_cell,CD8_positive_naive_resting_alpha_beta_T_cell,hippocampus,heart,gastrocnemius,monocyte,neutrophil,T_cell,left_cerebral_cortex,adrenal_gland,B_cell
ENSMUSG00000081441.3,0.11,0.0,0.0,0.09,0.0,0.0,0.66,0.0,0.15,0.0,0.0
ENSMUSG00000067879.3,0.0,0.0,47.74,0.01,0.01,0.0,0.0,0.0,70.06,0.04,0.02
ENSMUSG00000099827.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025912.16,0.18,0.24,0.87,0.39,0.1,0.01,0.83,0.52,1.39,1.97,0.51
ENSMUSG00000045210.8,9.42,9.53,11.57,3.08,2.66,12.12,12.33,9.92,12.75,5.62,10.33
ENSMUSG00000097893.8,0.13,0.0,0.12,0.14,0.0,0.35,0.42,0.0,0.21,0.03,0.0
ENSMUSG00000025915.14,8.47,8.51,2.25,3.19,1.1,44.71,25.09,8.67,4.05,2.12,11.66
ENSMUSG00000046334.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000088916.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000046101.16,0.43,0.16,0.79,0.03,0.0,1.26,1.5,0.82,0.5,0.0,1.24
ENSMUSG00000098234.7,20.87,20.02,8.38,4.0,6.93,5.19,5.54,14.74,6.37,6.98,12.92
ENSMUSG00000093178.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000099032.2,0.0,0.02,0.01,0.02,0.0,0.0,0.19,0.0,0.07,0.68,0.01
ENSMUSG00000104025.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025916.10,0.0,0.12,0.1,0.08,0.03,0.0,3.66,0.0,0.22,0.04,0.0
ENSMUSG00000087199.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
ENSMUSG00000095780.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025917.9,17.6,15.97,22.68,23.62,39.05,12.79,15.61,17.22,24.64,27.05,16.03
ENSMUSG00000056763.16,18.87,16.17,15.11,2.12,2.13,16.69,22.18,26.05,16.13,6.85,25.59
ENSMUSG00000102356.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000067851.11,39.25,32.31,24.76,23.94,21.7,31.88,65.11,39.37,26.3,16.23,55.82
ENSMUSG00000088153.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000102556.1,2.96,2.31,0.57,0.12,0.33,1.75,5.73,2.66,0.58,0.22,3.49
ENSMUSG00000042501.12,0.0,0.0,0.09,0.0,0.0,0.01,0.03,0.0,0.06,0.0,0.0
ENSMUSG00000103810.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
ENSMUSG00000083422.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000094979.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000081417.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000103448.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000100212.1,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.07
ENSMUSG00000100648.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
ENSMUSG00000088585.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000048960.13,0.02,0.02,19.93,7.32,2.74,0.02,0.03,0.0,13.15,5.78,0.0
ENSMUSG00000077318.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000101827.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000103494.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000057715.13,0.0,0.0,35.83,0.05,0.0,0.0,0.19,0.0,29.39,1.43,0.0
ENSMUSG00000103825.1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.59,0.02,0.0
ENSMUSG00000099845.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000103561.1,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
ENSMUSG00000101610.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
ENSMUSG00000093864.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000098555.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000097628.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0
ENSMUSG00000098163.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000097171.1,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.0,0.0
ENSMUSG00000101314.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000016918.15,0.1,0.08,1.57,6.25,2.58,0.06,0.02,0.0,3.53,3.87,0.02
ENSMUSG00000025938.16,0.27,0.14,0.54,2.78,6.63,0.51,0.02,0.01,0.48,0.24,1.19
ENSMUSG00000104518.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000069620.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000099498.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000042414.7,0.2,0.11,0.01,0.0,0.0,0.02,0.07,0.57,0.0,0.01,0.31
ENSMUSG00000005886.14,63.42,44.71,21.48,12.75,6.35,46.87,40.54,53.27,23.41,13.79,41.0
ENSMUSG00000103506.1,4.26,1.94,0.33,0.1,0.08,2.48,2.25,3.05,0.3,0.19,2.0
ENSMUSG00000103495.1,3.42,2.67,0.35,0.13,0.11,1.67,2.39,5.06,0.63,0.14,1.57
ENSMUSG00000099183.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000102639.1,2.55,2.1,0.37,0.0,0.04,0.58,0.55,2.35,0.37,0.09,0.39
ENSMUSG00000104170.1,2.78,2.21,0.45,0.03,0.14,1.21,0.95,3.33,0.53,0.2,1.25
ENSMUSG00000087782.1,5.06,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000103085.1,6.59,2.26,0.47,0.15,0.18,2.17,3.08,4.04,0.75,0.19,1.13
ENSMUSG00000102664.1,7.52,1.79,0.53,0.13,0.25,2.56,2.86,4.45,0.67,0.18,1.28
ENSMUSG00000101476.1,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.31,0.16,0.05,0.0
ENSMUSG00000101171.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025935.10,34.44,35.34,11.45,12.74,4.33,43.52,44.18,37.17,11.67,40.18,44.0
ENSMUSG00000025937.6,3.39,2.79,2.65,5.12,5.87,7.18,3.02,2.95,3.15,17.52,5.91
ENSMUSG00000102982.1,1.46,0.88,0.38,0.12,0.38,1.64,1.45,1.3,0.45,0.47,0.6
ENSMUSG00000067813.3,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
ENSMUSG00000077368.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000097711.1,0.0,0.0,0.09,0.13,0.6,0.0,0.06,0.0,0.14,0.21,0.0
ENSMUSG00000102166.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000089358.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000104209.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000025932.14,0.42,0.79,8.8,0.45,10.76,0.04,0.17,0.0,3.88,4.81,6.12
ENSMUSG00000095853.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000102588.1,0.18,0.16,0.19,0.0,0.21,0.0,0.0,0.0,0.0,0.08,0.86
ENSMUSG00000054493.2,0.0,0.0,0.98,0.24,0.18,0.0,0.04,0.0,1.95,0.01,0.0
ENSMUSG00000025930.6,0.0,0.0,0.88,1.23,0.72,0.0,0.0,0.0,1.1,0.11,0.0
ENSMUSG00000103492.1,0.0,0.0,0.08,0.04,0.02,0.0,0.0,0.0,0.27,0.0,0.0
